Seed,Best_Epoch,Early_Stopped,Best_Val_Macro_F1,Best_Val_Accuracy,Val_Loss_At_Best_Epoch,Min_Val_Loss,Test_Macro_F1,Test_Accuracy,Test_Macro_Precision,Test_Macro_Recall,Overfitting,Training_Time_Min,Trainable_Params
280,8,True,0.8488331142901133,84.68923698837797,0.6238717681938603,0.4988631642153186,0.843793437782602,84.30085815244826,0.8453852110990733,0.8440957316388102,True,2.2047838449478148,14736526
288,10,True,0.8580054842161566,85.69984840828701,0.6269006583118631,0.4726151427434337,0.8545454509123819,85.28816986855409,0.8585046317112521,0.8521835965693698,True,2.525779585043589,14736526
303,7,True,0.8579908441442111,85.70707070707071,0.5518093926291312,0.4655337376940635,0.8552543945735672,85.44719555330975,0.8577533357711012,0.8539725886512831,True,2.0299945076306662,14736526
309,16,False,0.8621250859716938,86.04651162790698,0.7951606136536405,0.4886480959192399,0.8454182999385352,84.46014127144299,0.8480914762288031,0.8440011137060184,False,3.3717981417973837,14736526
328,9,True,0.8588676320432098,85.90197069226882,0.6082582319335591,0.4771042711311771,0.8553746909306927,85.59878726629611,0.85492453207993,0.8590128214442672,True,2.3720820705095926,14736526
333,12,True,0.8551634635169446,85.4040404040404,0.7252288119446847,0.5098654130293477,0.8491962984208333,84.67374810318664,0.8545276818690121,0.8468793347128963,True,2.874436871210734,14736526
347,10,True,0.8469162287593079,84.58817584638706,0.690422824936949,0.4925380055942843,0.8479746478087049,84.73205257836199,0.8501779913280575,0.8492665030358132,True,2.512364967664083,14736526
360,11,True,0.8521352718918292,85.05805148914689,0.7203029837879923,0.4991598129272461,0.8494771103183572,84.90661282180717,0.8517098196493966,0.8497239162993315,True,2.70634746948878,14736526
367,9,True,0.8532752608349379,85.15901060070671,0.6437045684264552,0.4888774756222002,0.8423723513922541,84.17593528816987,0.844769846266433,0.841639240930891,True,2.364905031522115,14736526
378,6,True,0.8522981133251041,85.1945426983325,0.5164205429534758,0.5047768106864344,0.8393589249629937,83.88888888888889,0.8395478203124739,0.8416432473593902,True,1.8625061909357707,14736526
380,13,True,0.8577460660455947,85.51236749116607,0.7475205430340383,0.4920651049863908,0.8487618645666367,84.78260869565217,0.8516756634704267,0.8474216330005115,True,3.046618851025899,14736526
457,5,True,0.8573010608611099,85.82995951417004,0.5004479445276722,0.4691981972465592,0.8568769754898989,85.71428571428571,0.8594384993170501,0.8573257599717845,True,1.6854444066683452,14736526
